ExperimentName	Subject	Session	SessionDate	SessionTime	LineNumber	RunningSample	ACC	CRESP	RESP	RT	CurrentObject	ComponentName	CurrentFixationDuration	CursorX	CursorY	RTTime	RTTimeMicro	RTTimeReceived	RTTimeReceivedMicro	SystemTimestamp	HardwareTimestamp	HostTimestamp	SEQD	SEQH	GazePointValidityLeftEye	GazePointPositionDisplayXLeftEye	GazePointPositionDisplayYLeftEye	GazePointValidityRightEye	GazePointPositionDisplayXRightEye	GazePointPositionDisplayYRightEye	GazePointPositionUserXLeftEye	GazePointPositionUserYLeftEye	GazePointPositionUserZLeftEye	GazePointPositionUserXRightEye	GazePointPositionUserYRightEye	GazePointPositionUserZRightEye	GazeOriginValidityLeftEye	GazeOriginPositionUserXLeftEye	GazeOriginPositionUserYLeftEye	GazeOriginPositionUserZLeftEye	GazeOriginValidityRightEye	GazeOriginPositionUserXRightEye	GazeOriginPositionUserYRightEye	GazeOriginPositionUserZRightEye	GazeOriginPositionTrackBoxXLeftEye	GazeOriginPositionTrackBoxYLeftEye	GazeOriginPositionTrackBoxZLeftEye	GazeOriginPositionTrackBoxXRightEye	GazeOriginPositionTrackBoxYRightEye	GazeOriginPositionTrackBoxZRightEye	PupilValidityLeftEye	PupilDiameterLeftEye	PupilValidityRightEye	PupilDiameterRightEye	Image1	Picture	Tekst
PosterExperimentFinal	37	1	02-16-2023	15:34:55	11	1	0		1	8143	TV		40	1237	629	121357	121357669	121375	121375237	21354503310	21370900839	21354520878	291	14133	1	0.64599	0.52814	1	0.64264	0.52038	75.17108	162.27281	48.42068	73.41959	164.65311	49.28704	1	-37.01769	30.04338	557.02979	1	25.96505	29.53649	559.02539	0.58824	0.44382	0.25299	0.43458	0.44491	0.25590	1	2.57675	1	2.71062	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	12	1	0		1	8143	Fixation1	State1	0	1237	631	121361	121361670	121379	121379242	21354507310	21370904839	21354524882	292	14134	1	0.64535	0.52594	1	0.64342	0.52599	74.83430	162.94870	48.66671	73.82637	162.93201	48.66060	1	-37.02753	30.04404	557.03723	1	25.96430	29.53765	559.05151	0.58826	0.44382	0.25301	0.43458	0.44491	0.25596	1	2.57025	1	2.71309	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	13	1	0		1	8143	Fixation1	State1	4	1238	632	121365	121365669	121383	121383283	21354511310	21370908839	21354528924	293	14135	1	0.64672	0.52868	1	0.64359	0.52622	75.55100	162.10756	48.36054	73.91454	162.86380	48.63580	1	-37.03495	30.04613	557.06256	1	25.96268	29.53759	559.02557	0.58827	0.44382	0.25307	0.43458	0.44490	0.25590	1	2.55995	1	2.70760	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	14	1	0		1	8143	Fixation1	State1	8	1234	626	121369	121369669	121387	121387148	21354515310	21370912839	21354532789	294	14136	1	0.64626	0.52104	1	0.63918	0.52272	75.31115	164.45174	49.21375	71.61407	163.93686	49.02639	1	-37.03706	30.04641	557.03625	1	25.96509	29.54196	559.01678	0.58828	0.44382	0.25301	0.43458	0.44489	0.25588	1	2.58740	1	2.71255	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	15	1	0		1	8143	Fixation1	State1	12	1238	630	121373	121373669	121390	121390968	21354519310	21370916839	21354536609	295	14137	1	0.64678	0.52886	1	0.64313	0.52241	75.58034	162.05374	48.34094	73.67356	164.03146	49.06079	1	-37.04172	30.04991	557.07935	1	25.96782	29.54493	559.05127	0.58829	0.44381	0.25310	0.43458	0.44489	0.25596	1	2.58015	1	2.69650	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	16	1	0		1	8143	Fixation1	State1	16	1237	634	121377	121377669	121394	121394867	21354523310	21370920839	21354540508	296	14138	1	0.64830	0.53242	1	0.64054	0.52493	76.37740	160.95924	47.94261	72.32185	163.25905	48.77965	1	-37.04153	30.05414	557.04443	1	25.96865	29.54823	559.05981	0.58829	0.44380	0.25303	0.43457	0.44488	0.25598	1	2.58888	1	2.71440	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	17	1	0		1	8143	Fixation1	State1	20	1237	631	121381	121381669	121398	121398844	21354527310	21370924839	21354544485	297	14139	1	0.64782	0.52717	1	0.64167	0.52497	76.12513	162.57053	48.52903	72.91548	163.24510	48.77457	1	-37.04354	30.05250	557.04419	1	25.97132	29.54972	559.09436	0.58830	0.44380	0.25303	0.43457	0.44489	0.25605	1	2.57625	1	2.69647	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	18	1	0		1	8143	Fixation1	State1	24	1243	624	121385	121385669	121402	121402908	21354531310	21370928839	21354548549	298	14140	1	0.65321	0.51856	1	0.64206	0.52196	78.94386	165.21417	49.49128	73.11592	164.17004	49.11119	1	-37.04594	30.04969	557.03510	1	25.97336	29.55276	559.10291	0.58831	0.44381	0.25301	0.43457	0.44488	0.25607	1	2.55611	1	2.70879	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	19	1	0		1	8143	Fixation1	State1	28	1238	630	121389	121389669	121406	121406943	21354535310	21370932839	21354552584	299	14141	1	0.64851	0.52668	1	0.64120	0.52428	76.48651	162.72318	48.58463	72.66798	163.45860	48.85226	1	-37.04812	30.05442	557.09546	1	25.97588	29.55234	559.08533	0.58830	0.44381	0.25314	0.43456	0.44488	0.25603	1	2.59094	1	2.70705	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	20	1	0		1	8143	Fixation1	State1	32	1238	631	121393	121393670	121410	121410432	21354539310	21370936839	21354556072	300	14142	1	0.64792	0.52453	1	0.64212	0.52849	76.17834	163.38136	48.82418	73.14713	162.16650	48.38201	1	-37.04226	30.04340	556.99243	1	25.98132	29.55075	559.07629	0.58830	0.44382	0.25292	0.43455	0.44488	0.25602	1	2.56644	1	2.69398	FinalWorkshopInformative.png		
